"Mean","SD","NBeads"
1053,421,13
991,357,12
3883,715,11
69,6,3
535,286,11
13863,1364,14
4354,798,10
11135,1231,17
15727,1615,15
9951,1081,12
411,261,9
18745,2475,15
4585,684,14
6245,774,19
563,226,8
248,173,10
3233,642,12
202,194,15
9490,1351,13
2162,620,11
1857,427,20
3067,375,16
695,327,13
530,236,16
1020,281,7
1924,663,14
4775,937,9
6417,924,13
1511,457,11
1642,373,14
8165,1094,24
2912,832,17
7701,1217,11
399,277,7
471,295,12
254,153,17
8798,916,9
2213,612,10
1019,420,11
14421,195,6
2568,517,7
349,254,13
8360,1357,21
334,315,13
169,115,10
251,124,12
664,418,17
13261,1280,7
13911,1058,12
862,293,8
9287,1564,10
361,298,12
3855,431,6
17078,981,8
2383,820,9
373,236,14
649,281,16
859,75,4
6435,464,16
4229,904,16
601,260,8
7941,975,8
2196,839,10
1256,405,13
7222,810,13
8539,1185,19
4384,578,11
11639,1473,20
1252,373,9
9499,1074,16
4104,649,15
2297,307,13
620,375,14
8292,691,16
1075,342,8
417,328,15
1068,313,16
2556,379,11
1240,399,16
670,363,19
467,271,12
3359,984,13
624,271,17
627,400,15
891,288,7
7190,1129,14
5345,730,15
225,149,13
434,205,14
10150,1519,15
2707,421,7
3391,452,15
1061,308,5
6786,1150,19
7295,865,6
483,283,14
10954,680,13
581,136,10
5756,511,5
13776,1055,8
10032,1737,8
2357,597,13
2206,458,17
984,412,15
885,435,13
2075,294,11
1464,453,8
832,326,15
730,261,15
736,283,10
723,58,7
524,292,11
3810,587,6
441,275,13
939,226,13
1145,382,14
942,262,15
447,289,13
1367,256,13
19366,1961,21
10619,689,11
497,274,7
2982,492,17
319,206,13
354,179,16
272,190,12
2923,536,11
443,224,15
740,147,16
6410,998,18
295,220,12
10185,914,16
4019,454,18
3517,613,14
4242,749,13
530,287,10
1594,764,12
8669,1393,23
9342,840,7
296,137,13
1010,406,15
758,637,5
73,28,2
4100,322,8
7706,1246,20
2617,697,12
3351,518,11
10336,1321,15
514,217,18
2302,520,12
224,125,17
11633,1238,10
9055,724,20
6599,118,4
514,164,9
4435,646,16
95,22,8
559,391,13
1507,443,15
12564,771,13
340,199,15
10420,949,18
3410,491,12
256,18,3
1839,483,14
931,284,19
3622,573,16
1722,730,8
1976,299,8
154,181,4
9996,1265,12
10624,1680,9
12120,1464,11
1571,296,15
309,257,14
579,271,13
1654,359,12
246,160,16
1666,344,11
3471,1014,10
460,193,13
2367,408,11
844,242,13
19369,1928,15
5907,1023,7
