"Mean","SD","NBeads"
13410,1328,13
10984,1025,9
5582,586,10
148,119,8
4632,627,8
3856,154,4
8707,1205,12
12577,1143,16
1155,347,21
7220,980,11
10448,754,7
172,140,21
9384,1301,8
1471,641,12
6804,915,17
5078,880,9
328,259,12
3630,495,11
2108,326,13
243,116,13
143,73,11
5042,750,11
773,390,23
2202,593,13
15940,1451,8
1486,562,9
4911,722,18
4093,722,15
848,246,10
1740,372,11
14228,1222,13
9240,1057,13
183,163,16
11359,1171,12
2145,558,15
6000,868,17
1704,260,18
169,94,11
8188,1032,13
4888,598,15
2726,479,12
5363,1111,20
13419,1108,10
6626,649,12
2199,446,11
1365,332,15
767,277,10
237,155,16
2449,508,21
10272,1210,11
317,209,7
762,332,11
1763,513,12
10269,1066,11
3293,619,11
8935,899,20
7972,1369,6
961,354,13
399,235,13
5104,512,14
9803,1295,11
10210,892,15
14984,1293,15
14635,1902,10
2529,655,17
9563,969,13
3148,560,22
3252,549,12
11879,1120,10
5596,1126,18
11372,1996,13
448,136,14
2340,512,12
5544,541,7
7130,877,9
11761,962,15
323,203,13
3614,990,5
1302,389,18
357,176,16
1207,263,16
820,371,18
733,255,12
2189,241,12
1179,324,16
4899,659,9
14262,1428,20
1215,437,11
11664,1612,10
218,168,11
7760,724,12
1688,473,12
474,315,17
12296,1128,11
855,207,11
2843,385,14
846,324,13
815,443,13
955,214,6
5819,1168,10
551,147,14
5433,462,16
231,171,9
4029,1039,19
6740,627,12
2178,505,16
5827,710,16
1670,383,15
338,220,12
1342,473,10
365,157,18
8236,987,13
3920,438,13
10855,831,7
11085,848,5
2952,486,15
1699,323,13
747,262,13
138,112,21
246,227,9
463,267,13
7962,548,12
1957,475,20
669,349,11
4158,462,9
1102,303,13
10614,1140,18
4830,847,17
199,98,10
16228,1899,18
1780,718,8
8315,1101,12
19591,1685,11
10811,1008,20
10503,1267,16
9391,888,10
3902,510,9
586,235,16
481,204,13
13574,1186,13
200,182,9
11018,1231,15
303,145,10
5109,646,17
13857,1305,17
456,286,12
2767,406,18
11072,853,12
10964,1446,14
202,140,11
12717,1079,10
1507,23,6
4668,963,16
1696,362,17
5718,881,17
395,200,12
7804,612,17
6980,971,9
526,132,11
4205,793,13
9826,1322,7
176,86,7
14825,1738,18
787,232,14
944,433,10
2675,571,15
568,222,15
956,357,18
17103,2406,17
6060,957,10
383,224,14
7193,625,10
782,320,13
12647,881,13
13044,1389,18
1302,280,13
14835,1984,12
54,53,4
11004,799,10
209,158,16
299,187,15
5524,703,20
966,338,11
1417,340,16
7277,910,2
11412,1242,12
1365,411,11
9781,1318,9
2900,314,15
256,128,14
4598,740,12
9490,785,13
2740,426,16
2149,515,20
5265,916,12
275,227,13
1213,461,13
6196,581,9
3117,461,7
10148,633,8
12443,1146,13
5874,922,19
7000,867,17
459,241,14
649,186,10
4260,658,13
6421,866,10
450,250,10
4066,443,11
8218,898,12
959,272,13
10859,2048,10
723,293,17
678,135,13
3216,376,6
688,310,19
10834,1402,21
7735,721,14
3004,562,13
461,236,17
4966,582,13
9496,1358,13
10038,914,16
355,247,17
333,178,12
336,194,10
15647,1828,17
6015,763,14
55,61,4
4565,922,11
4912,571,13
2752,582,19
522,176,16
16576,974,9
858,307,13
1329,318,10
6190,537,17
584,282,20
3829,576,13
272,122,10
2368,431,20
8374,999,13
630,203,8
6905,963,20
8541,1170,10
14812,1876,10
13725,1695,5
247,160,10
8285,526,8
10968,1054,13
4591,813,24
9761,299,5
10100,930,17
211,105,13
6297,523,12
5197,583,8
835,296,16
391,224,18
4366,977,16
13875,1645,13
336,263,13
7187,572,12
5837,818,7
695,281,13
685,294,10
8372,950,12
9508,1134,19
525,390,9
11687,941,5
6965,1168,12
645,271,4
6102,1029,13
4789,283,13
16597,1863,11
338,208,13
634,216,11
579,90,10
10248,570,11
256,121,14
162,110,9
201,168,18
4087,567,9
1914,474,17
137,83,13
8901,1007,17
6345,369,10
12337,1724,13
8971,1468,14
5356,1122,14
213,127,9
267,91,8
290,198,15
3235,433,12
5551,710,10
7734,1017,12
4530,678,15
3599,800,11
2113,497,13
7222,664,20
8400,802,17
364,187,12
10886,723,9
329,186,12
8951,1177,15
861,351,11
183,167,17
6784,754,13
12327,1115,5
581,320,13
8080,882,12
3815,989,12
236,164,17
10696,1001,7
1147,125,10
14299,1115,13
12197,1074,7
4904,1002,10
15820,2171,14
9609,1601,9
2088,427,18
101,85,3
10280,1077,13
1376,447,9
2035,389,12
264,122,4
7156,824,13
6026,695,16
1424,544,15
545,273,8
11920,453,8
616,349,28
5970,545,14
3639,631,13
5632,691,12
13081,228,6
322,266,16
648,262,14
10151,720,9
1041,376,12
740,297,19
10621,906,14
10727,1695,18
278,144,8
6826,1233,6
14280,1985,17
1855,445,5
1475,253,19
1216,266,16
9923,1288,11
10925,903,20
695,282,6
4246,708,9
7066,980,14
344,147,13
611,340,9
373,250,21
7079,1488,17
8108,591,7
423,116,12
7973,965,12
412,206,15
12638,1645,5
836,359,8
6871,711,14
262,204,16
2242,442,6
8841,880,17
327,184,12
409,249,17
213,206,13
534,227,20
4296,553,11
7454,806,11
14467,1420,9
8803,1185,10
295,143,12
1600,300,11
1159,364,10
10085,1306,11
4568,642,11
1207,348,18
9348,296,7
9279,879,12
7959,993,11
1805,393,19
2533,713,17
577,256,15
3097,584,16
10002,1486,12
3504,543,20
533,237,12
492,103,10
5740,407,10
641,279,16
712,221,11
11214,1252,10
470,176,9
7089,195,5
11706,483,8
3855,534,20
11412,1424,13
480,201,14
5756,804,14
5296,897,13
6563,785,15
11841,1397,11
4277,951,12
5485,702,5
13122,699,7
2292,527,18
10435,1116,11
4048,359,15
4036,377,8
339,159,16
7118,1231,19
12887,948,9
7199,471,7
7460,927,10
6332,961,10
401,103,10
3935,388,8
378,245,23
2279,322,8
9779,829,10
9830,870,9
2441,546,10
565,173,21
1020,556,10
7278,784,15
3116,562,12
10765,24,3
731,177,9
6420,1098,9
1726,538,16
9640,1240,12
1458,510,12
264,202,18
14325,2095,11
280,84,9
892,392,15
12531,1560,11
13908,810,12
268,191,16
290,193,13
1285,509,13
3401,680,20
10733,1383,19
4466,770,20
409,122,6
377,145,12
2582,335,10
256,166,14
325,151,17
823,365,16
612,215,18
1870,211,10
13918,278,4
11371,660,13
7490,568,6
466,212,10
4498,424,9
1336,221,13
16485,1888,18
253,184,9
195,129,23
418,285,11
1089,216,10
313,196,22
6630,795,13
272,159,11
1031,381,17
1332,587,6
329,199,14
6564,701,10
3087,504,13
16248,1054,9
12485,917,13
319,163,15
387,173,13
4681,623,12
240,199,7
322,230,21
9525,956,13
2999,488,15
8455,816,16
1819,461,11
1000,203,10
5251,1047,14
14149,1556,19
3443,655,10
6371,585,9
335,235,16
4792,842,10
9241,945,11
5876,743,10
4459,755,15
27876,4133,46
11308,802,11
420,87,8
1094,395,12
12065,1235,12
484,276,20
459,117,5
6355,1199,10
4343,505,16
181,106,16
607,407,15
16342,1303,11
9434,746,19
496,323,20
5425,927,18
735,264,22
2213,452,10
1311,343,18
13191,1143,11
6406,327,9
8781,974,16
12062,948,11
612,276,16
306,210,11
12224,1280,24
4689,347,23
4947,838,13
962,186,18
526,429,14
670,223,9
315,176,24
434,388,11
11919,957,15
7428,1147,8
8609,1070,10
403,271,13
1690,343,12
207,119,9
382,166,14
5309,869,8
158,69,5
3851,645,17
408,222,13
6413,131,6
178,134,7
6853,657,18
6084,875,16
11918,122,4
816,304,14
246,200,14
2790,658,19
4443,679,17
15812,1785,13
9120,729,16
1252,235,16
307,249,24
5019,663,11
453,219,15
7890,1246,13
344,187,25
1154,248,13
4299,564,11
14707,2091,12
5346,764,12
283,131,16
19194,1743,24
138,107,13
14717,990,16
11808,891,15
12732,1311,15
14719,1647,19
1152,343,23
793,233,5
195,130,20
1695,425,13
9666,1680,16
647,272,16
6952,638,17
325,270,8
375,235,9
5432,476,11
1887,348,11
1189,346,17
8901,872,9
1984,509,14
3376,550,11
12211,634,9
946,210,14
4577,1008,12
4150,603,14
219,118,12
345,195,16
5331,831,18
9616,1101,18
165,116,12
6417,1075,18
4897,586,9
5827,562,10
231,103,9
5042,660,17
2120,401,14
433,266,20
258,189,10
1227,326,7
14513,432,3
11739,1290,20
619,113,8
928,276,12
3415,751,19
3388,458,15
375,216,15
3556,752,16
254,209,12
7435,1004,9
5868,983,12
3715,880,10
89,88,5
5451,884,8
385,221,7
3703,545,17
11021,1282,21
292,172,11
1775,410,12
3192,641,14
882,317,14
1284,199,8
12224,888,11
3679,515,9
515,220,20
250,186,7
10452,1055,6
11644,741,11
2440,251,8
14828,911,17
555,298,13
4754,572,10
2142,376,10
12639,1201,15
7556,1066,19
6513,664,11
8205,378,12
466,244,11
11337,1677,12
18079,1742,15
842,364,10
10576,866,13
432,194,21
12423,1851,12
4928,675,16
809,267,15
3951,349,14
7590,1175,17
8813,893,12
782,282,12
838,360,8
9369,782,17
239,183,13
7108,1125,16
1429,345,19
768,198,9
183,151,4
15339,1085,15
1256,185,8
4939,963,15
8245,950,10
10143,1430,11
6168,936,9
6329,1127,10
899,93,5
625,576,10
622,235,21
12065,1280,17
3170,604,8
5145,1339,5
610,270,21
373,170,16
8698,1953,7
2499,606,13
12743,1743,20
353,229,13
2353,477,10
15498,571,9
211,87,10
2633,572,15
684,308,12
197,177,20
1560,465,11
6179,977,14
10046,751,12
11292,1209,8
624,291,18
13486,1326,13
166,158,21
7053,1265,18
9377,1013,13
328,136,12
15196,1278,14
2932,603,21
7603,1346,10
6369,756,8
605,164,7
154,88,10
8073,735,13
13224,846,9
13622,1677,14
4970,544,19
437,221,18
1653,428,17
487,299,14
14363,2213,10
13969,742,14
271,160,26
12873,1130,11
765,194,14
4087,1380,6
184,121,12
306,184,12
489,214,17
231,132,8
1985,303,16
287,177,16
1935,404,26
8924,1341,11
810,301,12
16536,1114,13
1609,449,15
221,43,4
1716,508,13
314,207,10
3776,795,14
5962,678,6
15272,1364,14
260,144,16
295,165,12
340,261,16
2101,320,18
11912,1777,14
14994,1495,15
222,136,21
753,241,13
326,197,16
7729,1429,12
3348,429,16
10485,1264,15
399,255,15
1198,164,7
9903,1154,8
10437,1040,12
11520,1035,20
13824,580,7
2427,605,14
8900,1161,9
4770,392,13
657,194,14
772,164,9
1899,632,11
301,176,13
794,222,14
2476,515,8
255,144,13
555,324,9
579,172,16
2012,292,9
2118,249,11
966,330,9
1481,344,11
11681,1309,11
443,219,16
12518,1208,9
282,156,10
2274,469,24
10053,843,7
923,347,10
1860,414,14
719,276,7
6383,1004,19
8366,1386,17
1322,406,9
8703,677,9
579,227,12
852,341,11
1241,372,20
2321,581,13
1707,450,16
3439,872,14
7443,1165,13
3792,509,14
316,186,7
10822,1207,16
9086,787,16
262,216,17
1853,572,14
6269,894,9
505,209,22
5751,1154,14
3579,644,10
12935,1136,8
15709,1014,3
305,177,10
8130,691,13
227,177,17
8791,830,9
8440,920,10
6172,657,19
13915,1953,16
7451,427,14
1641,418,14
615,457,6
13948,1212,10
5863,944,12
739,44,7
9984,1157,20
293,255,5
5423,831,6
7063,730,16
338,141,15
262,157,14
4040,725,23
7908,775,14
276,141,9
169,150,11
7982,1256,6
695,229,13
178,79,11
4819,931,10
3829,193,8
243,155,8
525,172,10
4985,719,14
2144,223,9
142,104,12
1341,252,10
285,151,22
8017,991,7
8083,840,15
1938,453,8
4465,802,11
1068,305,7
1042,291,13
3266,536,13
10137,694,11
776,160,14
876,248,12
6716,1114,13
9633,1545,14
50,32,7
174,134,9
4897,1195,12
7422,721,9
9451,1332,13
0,293,37
6422,692,14
13621,1612,17
2040,697,17
8690,703,15
473,221,9
454,160,12
11428,1127,19
1117,364,9
391,316,6
2491,775,9
5224,1219,11
122,114,7
8995,1605,7
10603,929,13
307,123,16
13136,1301,12
841,145,8
10668,1463,16
655,267,21
434,244,15
19529,2436,13
11206,1667,10
2254,682,19
2379,495,20
6736,653,12
967,431,16
2158,400,10
741,329,7
785,388,15
12374,1578,17
278,179,13
479,250,8
374,214,17
6254,791,11
69,56,8
1640,489,13
547,197,16
4265,886,18
257,159,18
994,265,14
5514,771,12
5041,500,15
5621,815,14
560,270,8
5662,786,14
14078,1419,11
6949,625,13
5362,514,17
8869,1179,17
8040,1380,4
186,145,9
4945,497,14
2172,321,5
9363,1366,18
9416,1125,7
6891,977,17
11566,888,12
5852,1148,9
9572,849,14
363,186,16
7922,1070,10
3875,575,15
1098,412,16
253,109,5
925,289,13
9378,799,17
247,128,9
9419,1276,10
5517,928,14
652,164,9
4590,734,9
4118,546,17
10097,838,11
6269,842,18
192,127,17
1638,350,21
552,239,10
4447,558,9
655,266,13
6578,923,21
14748,920,16
179,91,14
3274,662,8
9012,465,10
571,191,11
1507,539,16
5248,563,15
10203,801,13
4585,851,18
7102,1055,12
787,414,11
797,256,13
8146,921,18
9066,907,17
1440,388,10
4548,903,18
627,286,9
1825,470,13
593,308,11
231,142,20
1348,315,9
3082,629,15
9708,815,15
2044,417,20
4281,582,11
275,178,8
529,227,12
751,336,16
336,182,17
6442,944,11
11570,1257,17
4345,760,10
607,329,18
6343,656,18
7925,908,11
261,157,9
986,274,16
2739,495,17
3544,620,9
719,241,11
206,133,14
12170,1614,12
5421,654,15
15943,1582,20
17508,1809,14
1752,394,10
1968,475,17
14447,1255,14
8085,997,15
10058,1041,13
14063,1824,14
11038,1200,15
14295,1846,12
9732,757,6
659,317,10
341,184,14
4241,725,11
1246,375,12
1196,382,13
1079,390,13
2938,540,15
6093,815,12
4125,1118,5
292,185,10
12258,1395,11
1010,290,7
2743,362,14
10816,763,13
5957,329,7
12616,1404,20
903,396,14
5020,1038,9
912,291,21
348,247,7
9336,1067,17
2517,255,9
534,222,19
573,266,12
9651,672,19
6187,942,20
206,159,13
5735,913,5
2520,628,23
6020,805,17
5984,924,15
13543,2086,10
18584,1671,8
8672,966,10
11333,965,9
3538,478,9
1684,481,12
9148,838,25
309,235,6
398,188,18
601,234,12
11489,783,15
542,253,9
7916,1224,16
667,169,9
11581,1231,8
8737,1134,12
1504,329,15
589,307,9
7924,978,13
282,207,13
8690,1239,19
640,355,15
1954,435,14
2241,424,11
12921,1323,9
4514,766,12
17151,1540,14
2603,704,7
3399,672,15
3281,169,4
5213,857,14
717,291,7
3977,2022,12
7303,823,22
5444,883,14
11242,1337,18
7499,712,16
6709,878,16
471,216,18
12905,399,6
10358,955,13
2593,519,13
7859,829,12
11721,482,10
913,304,12
6158,736,20
730,301,12
1175,418,10
233,179,11
3961,626,13
11205,1007,16
4285,722,15
127,63,6
2693,749,15
7560,395,11
5261,423,4
901,298,12
5266,1003,14
4163,284,9
4366,679,12
9197,760,18
7894,843,15
356,123,13
7450,563,14
2399,488,14
12487,1780,12
688,70,11
1701,390,15
2811,560,18
2894,1036,6
192,108,13
624,343,14
1270,238,7
1606,362,13
735,326,8
15541,2226,8
10906,729,12
11469,1106,10
7955,686,14
1305,466,18
11049,1314,16
918,101,5
10633,1206,13
1195,312,7
8256,667,16
14387,1477,18
11404,589,11
4471,501,15
5044,546,13
1115,372,12
192,172,12
706,323,21
8415,667,12
13429,1114,8
311,150,13
11494,1699,18
974,331,10
3380,917,3
5204,681,10
86,66,9
326,196,16
11693,1133,10
8381,576,7
657,223,25
799,392,17
7024,967,16
483,259,14
420,268,12
176,85,11
213,177,11
422,137,12
868,320,14
13062,1517,15
8667,674,13
2603,350,8
6814,1513,10
170,114,11
3502,757,15
8006,497,11
4833,846,8
8035,978,13
168,93,13
5441,576,13
1185,501,12
955,301,17
389,164,14
8069,765,15
1416,543,11
5331,662,14
1130,343,15
5001,812,14
190,78,9
109,67,9
1245,351,14
605,274,7
14984,864,10
3843,643,15
2040,387,11
14762,1564,13
2496,695,10
5307,759,15
517,232,14
10257,1524,13
679,253,13
8317,1138,6
9137,1416,11
9371,758,14
3021,685,18
2565,723,4
3841,557,5
1476,467,15
8730,829,10
12049,1137,16
11628,1301,7
114,72,16
1468,474,8
15484,1492,14
14115,1143,11
743,344,10
7257,879,10
9874,1084,9
10180,1111,12
1616,545,9
8044,1138,20
6477,631,12
779,272,15
3820,498,11
14304,1359,22
487,81,2
2353,573,10
10760,1281,14
3053,647,11
1083,248,13
203,171,16
385,193,12
9167,882,17
3867,577,9
11617,604,6
2149,605,9
1111,298,7
6047,1050,12
275,148,8
8563,529,13
434,204,18
5273,650,12
4724,582,21
3289,561,19
314,178,23
912,319,13
951,488,11
9569,442,10
7944,992,19
2771,61,6
711,317,9
4646,989,15
240,165,19
352,251,12
260,150,3
7998,1035,16
781,249,12
1821,508,17
1074,423,22
11364,718,7
12311,1428,14
280,147,12
597,205,20
156,134,10
1019,320,11
144,141,10
10743,1447,19
2392,532,19
4698,539,13
2312,470,7
1496,462,14
109,88,10
3307,564,8
254,160,14
129,124,18
2235,546,8
7016,479,12
218,147,13
78,44,8
510,218,16
1510,382,21
665,246,12
11544,1675,14
8699,1740,11
3015,453,16
7915,570,11
2565,475,16
409,242,10
161,135,20
16924,993,9
1768,497,12
8916,973,13
560,322,15
7339,1199,20
686,182,6
416,255,10
319,131,6
13814,2117,10
8038,1304,14
443,218,13
3664,506,9
2064,509,7
8083,1043,9
8553,936,13
14519,1346,15
710,228,16
12359,795,11
1672,397,19
17541,1766,11
793,221,9
6055,888,3
8212,1573,9
304,159,11
2773,448,8
907,300,14
4468,633,16
10467,1074,8
6129,843,16
719,289,15
2861,457,5
9098,749,12
677,289,19
538,215,17
119,63,10
16785,989,15
2313,553,17
1280,389,9
377,92,7
483,175,10
11084,957,16
13473,1274,14
487,141,10
8834,739,12
9412,223,7
1363,455,13
2042,378,11
641,299,12
5401,881,8
10927,852,9
367,203,11
245,210,13
407,209,12
8728,955,14
2827,448,12
3760,556,13
2916,626,19
1083,433,17
2933,280,10
629,324,10
13344,1091,10
8249,1266,10
5711,115,3
9028,769,12
10494,1388,12
205,84,5
11367,1366,12
8952,524,9
11000,958,12
7820,793,12
6377,962,13
559,290,21
195,146,10
323,144,13
1242,480,10
7808,1204,11
848,333,26
268,185,10
5623,659,13
10567,854,14
5010,392,11
9563,1695,15
2439,700,9
10021,1239,20
2152,325,8
2990,362,11
780,364,10
496,234,13
14039,1756,12
1412,250,6
5410,530,8
11073,1270,7
9273,835,8
10276,1039,10
534,277,18
889,324,16
253,157,5
619,275,11
2489,510,14
11345,1711,11
9119,542,10
925,328,13
226,99,11
232,135,17
7140,1012,14
193,160,8
10503,941,8
1206,318,5
8473,955,15
13148,1282,19
5693,996,14
7373,1313,8
618,237,13
9022,739,14
6723,584,14
4852,880,13
347,219,12
6144,717,18
4039,572,12
266,123,9
956,309,14
948,287,14
13056,1200,8
13720,1879,16
11282,830,10
1948,461,7
213,94,7
4977,471,16
11644,1017,13
4407,591,8
8365,973,14
253,176,24
13504,758,8
706,234,16
10985,1261,11
2564,396,14
3636,484,10
5063,522,15
13676,1589,8
506,260,12
7040,650,14
216,17,5
7034,585,15
9452,1114,13
6994,510,14
5786,630,11
7128,829,14
256,176,10
1554,435,21
704,466,6
7974,1156,12
877,334,11
215,95,12
6901,707,14
6740,1083,16
289,163,14
338,215,9
3694,417,9
3061,616,10
225,98,17
493,189,8
10080,934,16
8858,775,11
672,256,17
829,350,12
9187,709,10
2427,424,20
151,79,6
591,216,12
9250,655,14
182,116,16
3939,490,9
4048,798,10
1751,327,12
270,104,14
5050,1231,10
977,275,7
495,331,14
908,181,9
388,218,10
464,304,13
158,115,9
317,248,9
562,290,24
2156,484,14
7211,1013,12
6593,879,22
356,226,11
8461,280,11
14957,1206,9
579,109,12
2975,323,12
163,130,7
5473,875,14
3907,608,15
14450,1682,12
3150,419,11
8302,855,23
8404,1106,13
2896,411,17
8566,964,12
10755,1205,9
9708,1120,17
2201,205,11
0,885,32
232,149,11
6386,603,3
5097,877,13
9698,1055,20
452,294,14
1522,319,18
3838,646,17
2825,492,15
2524,225,9
253,178,20
150,106,8
3436,745,16
474,234,12
528,137,14
7940,1224,11
679,269,17
160,154,10
2760,411,16
8908,1175,6
846,199,13
1542,375,22
160,97,7
10977,1284,15
4730,827,16
222,113,10
1662,399,15
1081,315,8
5326,690,11
16915,1143,14
14229,1912,16
4783,607,18
12083,1817,15
3807,572,18
1772,348,10
11733,1358,13
931,345,14
5689,757,11
253,71,7
1154,374,19
15526,1405,13
1160,316,16
251,220,19
326,93,7
6229,794,16
866,435,9
6209,996,12
9883,914,19
1210,276,20
17177,1620,17
2543,232,9
10015,772,15
2314,467,12
203,206,13
480,285,8
2835,662,5
475,105,6
379,84,19
3736,585,15
14233,1190,19
919,196,6
184,157,12
273,161,10
763,267,8
414,189,20
6247,860,6
545,245,18
698,310,8
15446,1017,10
504,238,17
182,126,12
2455,502,13
4675,702,19
5030,399,9
2568,498,12
7036,700,15
1041,330,13
805,333,10
9291,851,11
8408,1051,18
998,329,11
12626,1187,11
183,132,12
13429,1214,19
179,214,8
14362,1677,12
9577,230,3
1121,385,14
701,313,17
1373,334,10
207,144,12
235,109,12
316,146,11
674,407,22
2560,576,11
1516,356,15
8185,1227,12
8734,939,23
1860,356,13
439,286,15
2860,323,13
352,161,10
7038,906,14
6047,901,12
1801,442,17
9290,1135,17
8470,596,10
3202,691,17
1034,296,16
1153,326,15
12140,1113,10
569,251,16
572,135,10
128,104,10
1638,389,9
1935,308,13
2367,564,9
1112,317,5
3424,789,19
11962,1071,10
4371,660,8
3750,390,5
524,180,7
16118,1177,20
2680,748,9
5274,676,11
1547,412,10
17317,1972,19
240,157,9
607,334,9
11932,1049,6
3438,848,16
520,204,6
8548,596,11
108,86,7
248,189,9
212,168,13
840,265,13
11465,995,12
958,414,15
588,337,16
1316,366,9
11267,1315,12
2152,373,7
585,234,16
383,111,5
777,177,8
9890,184,6
15064,1704,10
5536,879,11
8730,656,8
268,197,15
6668,729,17
16750,1788,22
7587,1041,11
15340,1858,12
9689,1102,13
13444,921,15
2468,389,14
12030,1383,18
2352,491,9
555,361,15
7927,1155,10
436,306,13
9060,1257,12
937,248,7
1315,441,15
2876,622,12
6413,530,10
3978,673,9
1015,323,8
772,176,9
6429,353,9
8592,839,7
12738,808,11
704,212,16
1243,169,20
258,156,13
7761,1172,14
6910,660,11
253,137,20
2721,570,18
6870,907,14
8987,770,14
277,135,18
10513,1295,18
1052,456,18
749,223,20
350,101,10
10009,1422,20
13153,2204,9
9153,1402,21
13925,1339,16
11414,1357,14
12334,520,11
8462,1135,17
267,164,11
5803,767,22
131,52,3
362,246,15
2538,637,10
3455,565,12
12949,869,18
384,159,11
615,152,12
618,351,14
1617,476,11
5869,980,12
6143,955,14
4988,54,5
1860,532,10
14571,1762,13
8020,594,12
9040,879,6
7277,551,6
3239,579,18
74,1,2
434,244,21
7676,1174,11
790,167,13
479,334,13
16194,1551,16
10900,918,12
146,129,9
12838,1373,11
5986,804,16
7286,961,10
8552,802,10
169,135,8
3793,697,12
3302,613,20
441,200,16
275,169,18
1340,684,5
187,102,10
6543,772,14
6490,768,8
5690,1105,12
504,236,19
7392,1028,11
16116,2216,14
308,180,14
785,211,6
960,295,6
12864,1154,18
1562,288,15
12041,1556,10
7523,1091,6
1202,225,8
1378,388,22
6718,1107,15
1691,341,18
7869,395,4
403,209,19
774,214,6
5775,873,20
11174,1215,16
9205,1279,17
650,90,8
630,197,14
801,270,20
1051,409,16
2627,502,14
4088,861,18
4900,731,18
785,285,14
4856,497,5
3927,665,17
192,134,10
4304,555,14
1208,362,8
215,48,8
810,235,12
11428,1098,11
735,306,10
284,161,13
620,304,8
9643,1526,10
9209,1638,13
330,153,7
435,159,15
10885,1441,15
2149,472,22
3680,508,13
3722,661,12
10335,718,7
668,180,12
10258,1040,13
464,215,11
14680,2122,11
881,179,6
2250,422,19
13568,1194,11
756,253,15
616,331,17
17107,1647,9
7299,313,10
489,245,20
11238,1659,11
11630,1480,13
305,244,18
12356,1535,8
8772,1010,20
15244,1101,14
10894,1089,17
954,174,10
6071,556,15
4373,954,11
473,172,17
1027,346,12
1123,414,13
5452,446,11
8492,1703,15
5287,594,16
4367,660,19
729,320,25
584,251,13
10134,848,9
354,228,11
6055,788,14
12740,691,16
4488,620,8
1776,372,16
397,192,11
2627,417,10
964,9,2
6088,708,17
4051,754,14
375,209,16
11508,1441,18
5567,653,5
984,242,10
6459,686,18
231,138,9
2489,532,8
9806,326,9
436,188,8
936,336,14
8977,725,12
1249,304,14
1184,260,12
984,282,12
176,114,15
308,203,19
16462,1787,15
667,127,9
4934,726,10
4313,859,11
16678,1695,10
12059,775,14
5668,311,4
295,203,8
226,102,10
6962,1163,8
940,156,17
3005,795,10
834,315,11
1013,306,11
7306,1218,21
4647,477,8
256,175,11
7980,761,15
8919,1063,12
1102,366,13
295,131,12
1323,416,13
5806,729,13
228,135,17
8284,1008,12
7016,1138,14
9633,1161,13
1120,323,10
430,141,13
14079,1377,16
199,171,6
411,139,11
738,224,9
13228,1212,11
330,262,14
438,175,14
1031,263,10
2790,492,15
5999,735,13
12958,1385,7
12153,1141,11
4323,698,15
11216,1365,16
286,164,13
339,219,11
7476,1074,13
257,228,12
3315,483,14
13747,655,6
4872,960,15
141,86,7
10636,883,14
1039,195,14
909,449,16
1511,315,14
1092,538,10
8991,1383,10
451,197,17
11788,1098,21
13494,1692,8
16488,955,11
345,260,10
874,288,18
5877,721,11
4637,631,12
574,352,10
845,297,22
1168,466,7
456,153,10
3993,701,20
1469,268,11
7775,1045,10
2365,572,8
8038,760,12
954,198,7
3038,644,16
792,248,15
5300,1024,15
2496,566,15
255,217,15
382,149,15
743,362,12
1157,507,15
1327,601,10
103,97,9
5257,966,16
1366,436,11
6977,1044,17
6555,531,13
3925,606,12
556,357,17
7226,896,6
707,329,18
14113,1499,16
10356,1130,12
3190,784,21
14599,1539,15
1606,479,10
5889,1212,11
10233,1073,28
8954,1359,16
4462,550,12
4809,665,15
369,168,9
1068,364,11
9178,1167,7
916,467,14
10921,899,10
1392,540,16
2745,464,16
151,67,10
1163,447,12
8926,1226,7
5861,305,12
11709,1151,17
6132,971,11
13770,714,9
667,409,14
288,186,14
13654,1798,19
5398,745,15
510,218,9
14329,1141,10
592,238,12
1562,438,12
710,231,17
10363,889,6
178,137,14
1282,552,8
820,292,16
5647,450,3
2293,429,15
178,129,20
11393,1381,14
271,185,18
6921,348,5
9138,1056,10
3037,654,15
1835,598,11
461,358,13
8999,1296,10
7743,583,12
11317,1107,14
128,88,11
15592,1186,12
1847,420,6
5632,972,16
9470,722,8
14247,1566,14
6438,579,16
4498,1107,11
9246,1136,24
135,89,13
12483,1238,21
9524,811,6
783,223,9
154,131,11
19695,1932,10
875,280,17
7602,1027,10
2882,515,12
193,174,11
3262,747,22
8874,1134,15
2478,469,13
1291,318,17
9153,1037,10
1068,252,8
2563,691,12
14817,1869,14
11276,1072,8
1370,331,16
171,143,5
5972,693,16
8135,951,15
6955,813,17
8388,1195,15
12209,1668,21
451,150,18
13801,1677,18
14436,1228,18
1949,476,16
6851,859,19
5676,573,10
11969,1936,11
9541,1390,10
175,114,10
1848,492,20
2672,578,8
229,148,13
233,190,14
7997,1586,8
4103,465,21
10158,1399,15
184,111,11
3919,591,14
7092,720,11
9506,1376,16
10999,1589,15
5718,867,12
213,135,10
8000,765,16
8632,1085,16
8351,1127,6
10717,676,8
13543,1126,15
11608,1139,12
627,284,13
528,286,17
427,301,10
12849,1410,15
10327,942,14
9666,1005,11
7305,1094,14
11576,1064,9
1826,275,9
10916,1518,11
2155,606,14
14965,1213,15
5057,1367,10
1683,195,9
378,263,13
12160,921,13
7624,978,17
7942,850,13
11986,1975,12
3430,656,15
673,205,16
10592,1145,11
3970,805,10
6701,1067,15
1121,389,16
2170,494,11
305,259,17
1289,295,10
10341,705,13
7958,814,12
497,215,19
753,382,13
8163,999,22
747,396,14
